Date,Bankroll,Strategy
2019-08-25,-20223.917520686813,flat
2019-08-25,-20323.917520686813,flat
2019-08-25,-20423.917520686813,flat
2019-08-31,-20369.150204789705,flat
2019-08-31,-20293.82253416849,flat
2019-08-31,-20393.82253416849,flat
2019-08-31,-20359.38160381863,flat
2019-08-31,-20288.61123876113,flat
2019-08-31,-20227.16262259789,flat
2019-08-31,-20327.16262259789,flat
2019-08-31,-20427.16262259789,flat
2019-09-01,-20328.10639070345,flat
2019-09-01,-20428.10639070345,flat
2019-09-01,-20528.10639070345,flat
2019-09-01,-20628.10639070345,flat
2019-09-14,-20728.10639070345,flat
2019-09-14,-20828.10639070345,flat
2019-09-14,-20785.54751588341,flat
2019-09-14,-20885.54751588341,flat
2019-09-14,-20811.93544896166,flat
2019-09-14,-20911.93544896166,flat
2019-09-14,-20817.016042578416,flat
2019-09-14,-20750.89117122612,flat
2019-09-14,-20850.89117122612,flat
2019-09-15,-20950.89117122612,flat
2019-09-15,-20826.961524075552,flat
2019-09-15,-20926.961524075552,flat
2019-09-16,-21026.961524075552,flat
2019-09-20,-21126.961524075552,flat
2019-09-21,-21001.711482321454,flat
2019-09-21,-21101.711482321454,flat
2019-09-21,-21017.570029512055,flat
2019-09-21,-21117.570029512055,flat
2019-09-21,-21081.49200214113,flat
2019-09-21,-21181.49200214113,flat
2019-09-22,-21099.46704948003,flat
2019-09-22,-21199.46704948003,flat
2019-09-22,-21299.46704948003,flat
2019-09-22,-21399.46704948003,flat
2019-09-22,-21356.379559225956,flat
2019-09-28,-21280.12153598724,flat
2019-09-28,-21206.492218342588,flat
2019-09-28,-21148.131899617052,flat
2019-09-28,-21093.521571113823,flat
2019-09-28,-21193.521571113823,flat
2019-09-28,-21293.521571113823,flat
2019-09-28,-21393.521571113823,flat
2019-09-28,-21340.30259782792,flat
2019-09-28,-21282.67089088392,flat
2019-09-29,-21206.85982403295,flat
2019-09-30,-21306.85982403295,flat
2019-09-30,-21406.85982403295,flat
2019-10-05,-21506.85982403295,flat
2019-10-05,-21375.62468551379,flat
2019-10-05,-21475.62468551379,flat
2019-10-05,-21575.62468551379,flat
2019-10-05,-21675.62468551379,flat
2019-10-05,-21775.62468551379,flat
2019-10-05,-21724.460347029544,flat
2019-10-05,-21620.562026096093,flat
2019-10-05,-21720.562026096093,flat
2019-10-06,-21643.99114260959,flat
2019-10-06,-21743.99114260959,flat
2019-10-06,-21687.45380702061,flat
2019-10-06,-21787.45380702061,flat
2019-10-19,-21887.45380702061,flat
2019-10-19,-21789.032072274753,flat
2019-10-19,-21889.032072274753,flat
2019-10-19,-21828.70699382622,flat
2019-10-19,-21710.960970293538,flat
2019-10-19,-21810.960970293538,flat
2019-10-19,-21754.69366048384,flat
2019-10-19,-21854.69366048384,flat
2019-10-19,-21779.082246722126,flat
2019-10-19,-21879.082246722126,flat
2019-10-20,-21979.082246722126,flat
2019-10-21,-22079.082246722126,flat
2019-10-25,-21988.47307505382,flat
2019-10-26,-21957.326851261027,flat
2019-10-26,-21834.901487145205,flat
2019-10-26,-21934.901487145205,flat
2019-10-26,-22034.901487145205,flat
2019-10-26,-22134.901487145205,flat
2019-10-26,-22234.901487145205,flat
2019-10-26,-22334.901487145205,flat
2019-10-26,-22256.49006341685,flat
2019-10-27,-22356.49006341685,flat
2019-10-27,-22456.49006341685,flat
2019-10-27,-22556.49006341685,flat
2019-10-27,-22496.98612104728,flat
2019-10-27,-22431.042022026082,flat
2019-11-02,-22531.042022026082,flat
2019-11-02,-22446.502953246025,flat
2019-11-02,-22411.04796496159,flat
2019-11-02,-22343.874685192524,flat
2019-11-02,-22302.78304175168,flat
2019-11-02,-22402.78304175168,flat
2019-11-02,-22502.78304175168,flat
2019-11-02,-22415.249938333538,flat
2019-11-03,-22515.249938333538,flat
2019-11-03,-22411.682959737434,flat
2019-11-03,-22511.682959737434,flat
2019-11-08,-22611.682959737434,flat
2019-11-08,-22496.11295825624,flat
2019-11-09,-22596.11295825624,flat
2019-11-09,-22490.30632325004,flat
2019-11-09,-22382.69922939902,flat
2019-11-09,-22482.69922939902,flat
2019-11-09,-22582.69922939902,flat
2019-11-09,-22520.47177183381,flat
2019-11-09,-22430.356710675256,flat
2019-11-09,-22327.073145440874,flat
2019-11-09,-22427.073145440874,flat
2019-11-10,-22371.998818182692,flat
2019-11-10,-22313.69566167919,flat
2019-11-10,-22215.75159768527,flat
2019-11-10,-22315.75159768527,flat
2019-11-23,-22252.1765350943,flat
2019-11-23,-22352.1765350943,flat
2019-11-23,-22239.38574605711,flat
2019-11-23,-22339.38574605711,flat
2019-11-23,-22285.339784977205,flat
